activation_composition,architecture,mean_test_accuracy,std_test_accuracy,best_test_accuracy,n_trials,epochs,batch_size
"(('leaky_relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus'))","[7, 5]",0.8961,0.0008221921916438097,0.8969,5,10,128
"(('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[6, 6]",0.88698,0.0070206552400755365,0.8974,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'softplus'))","[5, 7]",0.8893600000000002,0.0024646297896438536,0.8936,5,10,128
"(('relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.882,0.007972703431082822,0.8907,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus'), ('relu', 'relu', 'relu', 'softplus', 'tanh'))","[7, 5]",0.90194,0.002225848152952018,0.9056,5,10,128
"(('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus', 'tanh'), ('tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8828800000000001,0.014310611447453924,0.9006,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.88792,0.010539335842452324,0.9041,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.88534,0.007085365198774189,0.8947,5,10,128
"(('leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'relu', 'relu', 'tanh'))","[6, 6]",0.89496,0.0051944585858393144,0.9045,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus'), ('relu', 'relu', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.89664,0.00652214688580379,0.9092,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'), ('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.8915599999999999,0.0056223126914108764,0.8996,5,10,128
"(('softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'softplus', 'tanh'))","[6, 6]",0.88558,0.014603889892764893,0.9009,5,10,128
"(('softplus', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'softplus'))","[5, 7]",0.8806800000000001,0.009962007829749977,0.8949,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu'), ('relu', 'relu', 'relu', 'relu', 'relu', 'softplus', 'softplus'))","[5, 7]",0.8833400000000001,0.011308510069854479,0.8992,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'softplus'))","[6, 6]",0.8886200000000001,0.012659605049131677,0.9069,5,10,128
"(('relu', 'relu', 'softplus', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8797599999999999,0.008530087924517555,0.8899,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus'), ('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'))","[5, 7]",0.88834,0.014727199326416413,0.9023,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'softplus'), ('leaky_relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.8900599999999999,0.01339770129537151,0.9073,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'), ('leaky_relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.8970800000000001,0.006683532000372246,0.9036,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu'), ('softplus', 'softplus', 'softplus', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.89412,0.00684993430625433,0.9007,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus'), ('leaky_relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.89824,0.006117711990605656,0.9078,5,10,128
